"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1612","Invalid Email - trailing dot in local part","chromium","2026-02-06","passed","2026-02-06","Verify Sign In functionality","signin.spec.ts","",""
"","1738","Invalid Email - leading dot in local part","chromium","2026-02-06","passed","2026-02-06","Verify Sign In functionality","signin.spec.ts","",""
"","2192","Invalid Email - missing top-level domain","chromium","2026-02-06","passed","2026-02-06","Verify Sign In functionality","signin.spec.ts","",""
"","5185","Invalid User","chromium","2026-02-06","passed","2026-02-06","Verify Sign In functionality","signin.spec.ts","",""
"","2101","Forgot your Password","chromium","2026-02-06","passed","2026-02-06","Verify Sign In functionality","signin.spec.ts","",""
"","2143","Invalid Email - missing domain","chromium","2026-02-06","passed","2026-02-06","Verify Sign In functionality","signin.spec.ts","",""
"","1361","Invalid Password - contains only spaces","chromium","2026-02-06","passed","2026-02-06","Verify Sign In functionality","signin.spec.ts","",""
"","2108","Invalid Email - missing @ symbol","chromium","2026-02-06","passed","2026-02-06","Verify Sign In functionality","signin.spec.ts","",""
"","1381","Reset Password Screen: ""Sign In"" link navigates user back to Auth login","chromium","2026-02-06","passed","2026-02-06","Verify Sign In functionality","signin.spec.ts","",""
"","1263","Invalid Email - invalid characters in domain","chromium","2026-02-06","passed","2026-02-06","Verify Sign In functionality","signin.spec.ts","",""
"","1816","Invalid Email - double @ symbols","chromium","2026-02-06","passed","2026-02-06","Verify Sign In functionality","signin.spec.ts","",""
"","6120","Valid User","chromium","2026-02-06","passed","2026-02-06","Verify Sign In functionality","signin.spec.ts","",""
"","1263","Toggle Show/Hide Password","chromium","2026-02-06","passed","2026-02-06","Verify Sign In functionality","signin.spec.ts","",""
